,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
35,The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,4.5,2076,501,"Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",4,51,"['Self-Esteem', 'Personal Success', 'Personal Development & Self-Help']"
36,Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,4.5,3823,820,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their successes over and over?",7,12,"['Leadership', 'Business Motivation & Self-Improvement', 'Entrepreneurship']"
37,The Tatas: How a Family Built a Business and a Nation,Girish Kuber,4.4,53,668,Winner of the Gaja Capital Business Book Prize 2019,9,41,"['Biographies of Business Leaders', 'Biographies & Autobiographies']"
38,Hyperfocus,Chris Bailey,4.5,155,323,"Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",6,39,"['Time Management', 'Memory Improvement', 'Time Management & Productivity']"
39,"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,4.7,2361,750,An instant New York Times best seller and number one Wall Street Journal best seller,12,57,"['Memory Improvement', 'Psychology', 'Personal Success']"
40,Meri Gita,Devdutt Pattanaik,4.2,129,668,"In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight.",7,39,"['Eastern Philosophy', 'Hinduism', 'Christianity']"
41,The Unusual Billionaires,Saurabh Mukherjea,4.4,287,1005,What makes a company truly outstanding?,9,12,"['Literary Essays', 'Biographies of Business Leaders', 'Essays']"
42,To Kill a Mockingbird,Harper Lee,4.5,19930,888,Brought to you by Penguin.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
44,The Tales of Beedle the Bard,J.K. Rowling,4.6,3687,652,"Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",1,35,"['Action & Adventure Fiction for Teens', 'Contemporary Fantasy', 'Fairy Tale Collections & Anthologies for Children']"
46,Think and Grow Rich,Napoleon Hill,4.5,22330,166,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",10,15,"['Economics', 'Business Motivation & Self-Improvement', 'Economics Books']"
47,Think and Grow Rich,Napoleon Hill,4.5,22330,166,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
48,Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,4.5,5304,1093,Brought to you by Penguin.,14,53,"['Future Studies', 'Anthropology', 'History']"
49,Inglorious Empire: What the British Did to India,Shashi Tharoor,4.5,301,752,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor.",10,33,"['Indian History', 'Imperialism', 'Colonialism & Post-Colonialism']"
50,Hitchhiker's Guide to the Galaxy,Douglas Adams,4.5,2449,323,"A much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by British comedian Stephen Fry. Adams displays his talents for a creating a whole new world in this first of five audiobooks in the Hitchhiker's Guide to the Galaxy series. Packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many.",2,30,"['Humour', 'Plays', 'Science']"
51,Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,4.5,4243,1093,Brought to you by Penguin.,8,42,"['Society & Culture', 'Sciences', 'Personal Development & Self-Help']"
52,"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,4.5,3935,13345,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
53,Autobiography of a Yogi,Paramahansa Yogananda,4.6,2233,1126,"This audio edition, featuring Academy Award winner Ben Kingsley's masterful narration, contains the complete text of Paramahansa Yogananda's life story, an absorbing account of a singular search for Truth. Yogananda describes his experiences with modern-day saints and illuminated masters of India, and presents a definitive introduction to the whole science and philosophy of Yoga.",10,10,"['Philosophy', 'Science', 'Yoga']"
54,Autobiography of a Yogi,Paramahansa Yogananda,4.6,2233,1126,"This audiobook, the version of which was first published in 1946, helped launch a spiritual revolution in the West. Only rarely does a sage of Paramhansa Yogananda's stature write a firsthand account of his life experiences. Followers of many religious traditions have come to recognize Autobiography of a Yogi as a masterpiece of spiritual literature. Yet, for all its depth, it is full of gentle humor, lively stories, and practical common sense. Now, with this audiobook, the 1946 edition is again available, with all its inherent power, just as the great master of yoga first presented it.",21,33,"['Hindu Biographies', 'Hinduism', 'Biographies & Autobiographies']"
55,Hit Refresh,Satya Nadella,4.4,837,13442,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
57,A Gentleman in Moscow,Amor Towles,4.6,16239,873,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
58,A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,4.7,13129,18149,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
59,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,4.6,2706,703,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
60,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,4.6,1884,11862,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
61,The Bhagavad Gita,Eknath Easwaran,4.7,1988,280,"The Bhagavad Gita, ""The Song of the Lord"", is the best known of all the Indian scriptures, and Easwaran's reliable and accessible version has consistently been the best-selling translation. Easwaran's introduction places the Gita in its historical setting and brings out the universality and timelessness of its teachings. Chapter introductions give clear explanations of key concepts in that chapter. To listen to the scripture without the introductions, listeners should start at track 044. The Bhagavad Gita opens dramatically on a battlefield, as the warrior Arjuna turns in anguish to his spiritual guide, Sri Krishna, for answers to the fundamental questions of life. But as Easwaran points out, the Gita is not what it seems - it's not a dialogue between two mythical figures at the dawn of Indian history. ""The battlefield is a perfect backdrop, but the Gita's subject is the war within, the struggle for self-mastery that every human being must wage"" to live a life that is meaningful, fulfilling, and worthwhile. This audio recording is a complete and unabridged reading of Eknath Easwaran's book The Bhagavad Gita.",1,50,"['Art', 'History', 'Indian History']"
62,Mythos,Stephen Fry,4.6,2570,1093,"Step into another world - of magic, mayhem, monsters and maniacal gods - in Stephen Fry’s momentous Sunday Times best-seller Mythos, brought to you by Penguin.",10,10,['Words']
64,"Scion of Ikshvaku: Ram Chandra Series, Book 1",Amish,4.2,6475,836,"Scion of Ikshvaku: Ram Chandra Series, Book 1 - No description available.",5,20,"['Music Books', 'Economics Books', 'Biology Books']"
65,Sita: Warrior of Mithila,Amish,4.4,3804,836,Sita: Warrior of Mithila - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
66,"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,4.7,5509,1599,"""'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'""",30,18,"['Family Life Fiction for Children', 'Fiction on Friendship for Children', 'Fiction on Orphans & Foster Homes for Children']"
67,"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,4.7,7018,1599,"""There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building...wherever they had murdered....""",21,27,"['Family Life Fiction for Children', 'Fiction on Friendship for Children', 'Fiction on Orphans & Foster Homes for Children']"
68,"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,4.7,10362,999,"Harry Potter and the Chamber of Secrets, Book 2 - No description available.",5,20,"['Music Books', 'Economics Books', 'Biology Books']"
69,A Suitable Boy (Dramatised),Vikram Seth,4.4,544,888,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
70,Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,4.5,2295,668,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
71,Make Time: How to focus on what matters every day,Jake Knapp,4.6,350,615,Make Time: How to focus on what matters every day - No description available.,5,20,"['Time Travel Science Fiction', 'Time Travel Science Fiction for Children', 'Time Management']"
73,The Ride of a Lifetime: Lessons in Creative Leadership from the CEO of the Walt Disney Company,Robert Iger,4.7,3728,888,The Ride of a Lifetime: Lessons in Creative Leadership from the CEO of the Walt Disney Company - No description available.,5,20,['Leadership']
74,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.6,14042,1093,12 Rules for Life: An Antidote to Chaos - No description available.,10,10,"['Family Life Fiction', 'Family Life Fiction for Children', 'City Life Fiction']"
75,"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,4.7,8684,1599,"Harry Potter and the Deathly Hallows, Book 7 - No description available.",10,10,"['Music Books', 'Economics Books', 'Biology Books']"
76,"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,4.7,5417,1599,"""'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'""",22,17,"['Family Life Fiction for Children', 'Fantasy & Magic for Children', 'Fiction on Orphans & Foster Homes for Children']"
78,The Buddha and the Badass: The Secret Spiritual Art of Succeeding at Work,Vishen Lakhiani,4.8,341,1005,The Buddha and the Badass: The Secret Spiritual Art of Succeeding at Work - No description available.,10,10,['Art']
79,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,4.5,11918,670,The Power of Now: A Guide to Spiritual Enlightenment - No description available.,5,20,"['Study Guides', 'Spirituality', 'Spiritualism']"
80,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,4.4,3350,1005,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",8,38,"['Small Businesses', 'New Business Enterprises', 'Business Management']"
81,"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,4.7,1041,879,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
82,Why We Sleep: The New Science of Sleep and Dreams,Matthew Walker,4.6,5105,888,Why We Sleep: The New Science of Sleep and Dreams - No description available.,5,20,['Science']
83,Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People],Stephen R. Covey,4.4,558,1003,Ati Prabhavkari Logon ki 7 Aadatein [7 Habits of Highly Effective People] - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
84,The Discomfort of Evening,Marieke Lucas Rijneveld,3.9,133,569,The Discomfort of Evening - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
86,Range: How Generalists Triumph in a Specialized World,David Epstein,4.6,1252,323,"Range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from David Epstein, the acclaimed author of The Sports Gene.",10,17,"['Creativity & Genius', 'Entrepreneurship', 'Personal Success in Business']"
87,Man's Search for Meaning,Viktor E. Frankl,4.4,12868,468,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning.",4,44,"['Philosophy', 'Holocaust', 'Textbooks & Study Guides']"
88,Everything Is F*cked: A Book About Hope,Mark Manson,4.3,2351,10378,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope.,7,2,"['Satire Fiction', 'Humour', 'Personal Success']"
89,"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,4.6,5902,999,"Harry Potter and the Prisoner of Azkaban, Book 3 - No description available.",5,20,"['Music Books', 'Economics Books', 'Biology Books']"
90,The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,4.6,1367,1138,"Bloomsbury presents The Anarchy by William Dalrymple, read by Sid Sagar.",15,43,"['Military History', 'Indian History', 'Colonialism & Post-Colonialism']"
91,The Girl on the Train,Paula Hawkins,4,70077,888,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy.",10,57,"['Psychological Thrillers', 'Crime Thrillers', 'Crime']"
93,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3663,1506,"The latest groundbreaking tome from Tim Ferriss, the number-one New York Times best-selling author of The 4-Hour Workweek.",22,41,"['Developmental Psychology', 'Business Motivation & Self-Improvement', 'Personal Success']"
94,A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,5361,888,Brought to you by Penguin.,6,57,"['Physics', 'Cosmology', 'Astronomy']"
95,Sapiens,Yuval Noah Harari,4.6,329,1171,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly.,15,18,"['Anthropology', 'History of Civilization', 'Anthropology']"
96,Sapiens,Yuval Noah Harari,4.6,329,1171,New York Times Best Seller,21,42,"['Anthropology', 'Anthropology']"
97,Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1856,888,Brought to you by Penguin.,7,54,"['Lifestyle & Personal Style Guides', 'Personal Success in Business', 'Personal Success']"
99,"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.4,62,586,YOUR MOST VALUABLE ASSET...IS YOU. LOADED WILL TEACH YOU HOW TO MAKE THE MOST OF IT.,6,54,"['African American History', 'Racism & Discrimination Studies', 'Violence in Society']"
100,1984,George Orwell,4.5,16938,797,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered.",12,19,"['Dystopian Science Fiction', 'Political Fiction', 'Literary Fiction']"
101,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,950,1093,Brought to you by Penguin.,14,44,"['Globalisation Money & Finance', 'Economic Theory', 'Economic Conditions']"
103,The Girl in Room 105,Chetan Bhagat,4.3,6638,568,"Hi, I'm Keshav, and my life is screwed. I hate my job and my girlfriend left me.",8,23,"['Psychological Thrillers', 'Suspense', 'Crime Thrillers']"
104,Godaan (Hindi Edition),Munshi Premchand,4.4,1141,1003,Godaan (Hindi Edition) - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
105,"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,4,621,233,"You have studied English for years, yet you still don't speak English well. You've tried many methods and you still make grammar mistakes, you still can't speak English fluently, and you still can't pronounce English words correctly. You can read English, but you feel too nervous or too shy to speak English.",1,17,"['English Language Learning', 'Sporting Events & Organisations', 'Language Learning & Teaching']"
106,Eat That Frog!,Brian Tracy,4.5,2081,351,"There just isn't enough time for everything on our to-do list - and there never will be. Successful people don't try to do everything. They learn to focus on the most important tasks and make sure those get done. They eat their frogs. There's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. For Tracy, eating a frog is a metaphor for tackling your most challenging task - but also the one that can have the greatest positive impact on your life. Eat That Frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",2,37,"['Time Management & Productivity', 'Business Management', 'Business Motivation & Self-Improvement']"
107,Zen: The Art of Simple Living,Shunmyo Masuno,4.7,253,752,Penguin presents the audiobook edition of Zen by Shunmyo Masuno.,2,37,"['Zen Buddhism', 'Meditation', 'Stress Management']"
109,Outliers: The Story of Success,Malcolm Gladwell,4.3,4439,500,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers"" - the best and the brightest, the most famous and the most successful. He asks the question: what makes high achievers different? His answer is that we pay too much attention to what successful people are like and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band.",7,18,"['Social Psychology', 'Anthropology', 'Business Motivation & Self-Improvement']"
110,Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,608,836,"IMPORTANT UPDATE: This audio is the new recording by DJ Holte, which replaced the original inferior recording and also contains text that was added in the 2012 revised edition of Market Wizards.",14,41,"['Stocks', 'Marketing', 'Personal Finance']"
111,365 Panchatantra Stories,Adil Mukesh,4.2,424,668,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals.,7,29,"['Literary Criticism for Children', 'Fairy Tales', ""Children's Traditional Stories""]"
112,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7255,585,What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There's no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson.,3,41,"['Physics', 'Astronomy', 'Astronomy']"
113,365 Tales of Indian Mythology,Om Books International,4.4,238,836,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",10,1,"['Literary Criticism for Children', ""Children's Traditional Stories""]"
114,"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,459,668,"There is no such thing as a non-finance person. It is an error to think that finance management is limited to the Finance Department alone. In fact, it is happening right through the organization - for every action you take impacts the bottom line of your company. Listen to this book to understand what profit really means and how inventory and sales impact it. Learn to read balance sheets and deploy funds intelligently. Make the most efficient use of your working capital and discover the simple secrets of marginal costing, leverage and funds flow. Written in a simple conversational style, romancing the balance sheet will teach you all the intelligent ways of good financial management.",5,27,"['Education', 'Business Management', 'Education']"
116,The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,826,469,A comprehensive value-investing framework for the individual investor.,5,4,"['Investing & Trading', 'Analysis & Strategy', 'Personal Development & Self-Help']"
117,The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1378,500,"Design doesn't have to be complicated, which is why this guide to human-centered design shows that usability is just as important as aesthetics.",10,39,"['Architecture', 'Industrial Engineering', 'Interior Design']"
